sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
6.3041;1.419;13.1411;-2.5953;-4.7836;8.1594;-5.9371;1.7371;-8.2843;-0.5657;-0.6729;0.7569;586.0;26.29;-6.54;-29.16;250.63;12.29;-20.93;5.0;48.081;39.468937;-0.341245;-51.8;NaN;2.17;6.7;258.74;11 / 33;14;2021-10-20 19:26:43:446
6.3041;1.419;13.1411;-2.5953;-4.7836;8.1594;-5.9371;1.7371;-8.2843;-0.5657;-0.6729;0.7569;586.0;26.29;-6.54;-29.16;250.63;12.29;-20.93;5.0;48.081;39.468937;-0.341245;-51.8;NaN;2.17;6.7;258.74;11 / 33;64;2021-10-20 19:26:43:496
2.984;-0.057;5.1911;-0.091;-4.889;8.5042;-1.1944;4.7701;4.6914;-0.817;-0.7403;0.9126;603.0;23.76;-4.31;-31.14;212.14;29.19;17.64;5.0;48.081;39.468937;-0.341245;-51.8;NaN;2.17;6.7;258.74;11 / 33;114;2021-10-20 19:26:43:546
-1.816;-5.309;5.952;-6.3638;2.1787;7.1347;-1.2527;3.5622;5.7107;-1.3612;-1.767;1.4028;603.0;10.14;-2.7;-35.4;74.61;-12.84;41.73;5.0;47.681;39.468937;-0.341245;-51.8;NaN;2.17;6.7;258.74;11 / 33;165;2021-10-20 19:26:43:597
-1.816;-5.309;5.952;-6.3638;2.1787;7.1347;-1.2527;3.5622;5.7107;-1.3612;-1.767;1.4028;603.0;10.14;-2.7;-35.4;74.61;-12.84;41.73;5.0;47.681;39.468937;-0.341245;-51.8;NaN;2.17;6.7;258.74;11 / 33;215;2021-10-20 19:26:43:647
-1.1561;1.347;3.087;3.6919;3.1651;8.5186;5.865;0.8252;5.6988;-1.3179;-0.6321;1.7794;603.0;-4.14;-4.56;-34.44;74.61;-12.84;41.73;5.0;47.681;39.468906;-0.341265;-51.5;NaN;3.13;5.4;252.11;12 / 33;264;2021-10-20 19:26:43:696
11.408;-3.528;-2.5579;-2.8347;-9.1602;-2.0446;-4.1863;1.8947;11.7131;-1.0974;-4.2056;2.5684;603.0;-28.91;-6.96;-21.24;0.12;69.12;125.8;5.0;47.681;39.468906;-0.341265;-51.5;NaN;3.13;5.4;252.11;12 / 33;315;2021-10-20 19:26:43:747
16.4681;-2.747;-1.46;-1.6041;-9.6391;-0.8523;-9.8443;-1.0447;8.0548;-1.0974;-4.2056;2.5684;367.0;-28.91;-6.96;-21.24;0.12;69.12;125.8;5.0;47.681;39.468906;-0.341265;-51.5;NaN;3.13;5.4;252.11;12 / 33;365;2021-10-20 19:26:43:797
18.048;-7.269;3.006;-3.6152;-8.9926;1.494;-9.8443;-1.0447;8.0548;-0.2161;-4.1491;-0.0458;367.0;-38.59;1.14;-21.9;1.46;79.33;117.98;5.0;47.681;39.468906;-0.341265;-51.5;NaN;3.13;5.4;252.11;12 / 33;414;2021-10-20 19:26:43:846
18.048;-7.269;3.006;-3.6152;-8.9926;1.494;-9.6273;4.5803;1.2581;-0.2161;-4.1491;-0.0458;367.0;-38.59;1.14;-21.9;1.46;79.33;117.98;5.0;50.682;39.468906;-0.341265;-51.5;NaN;3.13;5.4;252.11;12 / 33;465;2021-10-20 19:26:43:897
