sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.0961;0.897;5.6561;1.4892;-1.834;9.5193;-0.2131;1.8508;3.7239;-0.1327;0.1008;-0.3476;99.0;-25.14;-18.24;-24.66;137.86;10.78;-8.89;5.0;45.245;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;15;2021-10-20 19:29:37:597
12.2;17.0711;0.356;7.9775;-5.6982;0.1676;-0.2131;1.8508;3.7239;-0.1327;0.1008;-0.3476;99.0;-25.14;-18.24;-24.66;137.86;10.78;-8.89;5.0;47.129;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;64;2021-10-20 19:29:37:646
12.2;17.0711;0.356;7.9775;-5.6982;0.1676;0.9182;13.832;8.505;0.6277;-1.9614;-0.1726;99.0;-26.34;-15.24;-25.44;221.52;35.53;-88.8;5.0;47.129;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;114;2021-10-20 19:29:37:696
-1.6969;-5.368;2.52;-8.5377;2.6863;4.0079;0.9182;13.832;8.505;0.6277;-1.9614;-0.1726;99.0;-26.34;-15.24;-25.44;221.52;35.53;-88.8;5.0;47.129;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;165;2021-10-20 19:29:37:747
4.5401;-3.5209;1.479;-5.8179;-7.5082;2.4373;3.5888;12.2891;15.859;-5.0577;0.2124;-1.4376;103.0;-30.41;-12.3;-18.3;73.89;49.97;67.27;5.0;47.129;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;214;2021-10-20 19:29:37:796
6.8021;-3.6521;5.052;-3.8834;-7.2353;5.363;1.9079;3.5918;-1.6807;-5.0577;0.2124;-1.4376;103.0;-30.41;-12.3;-18.3;73.89;49.97;67.27;5.0;47.129;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;264;2021-10-20 19:29:37:846
6.9;-8.8249;-3.02;-7.4603;-5.8323;-2.5474;1.9079;3.5918;-1.6807;-0.3352;-1.1923;0.6155;103.0;-37.09;-6.6;-2.34;73.89;49.97;67.27;5.0;47.129;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;315;2021-10-20 19:29:37:897
6.9;-8.8249;-3.02;-7.4603;-5.8323;-2.5474;-3.3842;6.9534;11.9773;-0.1276;-2.1042;1.2706;103.0;-36.19;4.31;5.64;322.21;36.5;108.85;0.0;54.309;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;364;2021-10-20 19:29:37:946
33.822;3.59;-14.105;0.9529;-9.007;-3.7541;-28.7866;-6.1829;22.1019;-0.1276;-2.1042;1.2706;103.0;-36.19;4.31;5.64;322.21;36.5;108.85;0.0;54.309;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;415;2021-10-20 19:29:37:997
14.2871;1.8551;11.5871;0.9816;-7.58;6.1483;-7.4173;-4.3592;-5.0297;0.7274;-4.4946;0.5316;103.0;-31.69;15.19;12.9;245.15;66.73;-165.76;0.0;54.309;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;465;2021-10-20 19:29:38:047
14.682;8.193;-25.2641;2.648;-4.7453;-8.1642;-6.8605;-9.2816;31.0827;7.0474;-2.9594;1.3248;103.0;-28.14;20.7;15.3;288.34;28.94;-162.03;0.0;54.309;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;514;2021-10-20 19:29:38:096
9.251;-5.277;-5.055;-4.3862;-7.695;-4.2042;-6.8605;-9.2816;31.0827;7.0474;-2.9594;1.3248;49.0;-28.14;20.7;15.3;288.34;28.94;-162.03;0.0;54.309;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;564;2021-10-20 19:29:38:146
13.143;-2.846;13.0091;-1.4844;-6.8857;6.8235;-4.4;0.538;6.5133;6.0313;-2.2085;0.2959;49.0;-25.31;20.89;19.14;288.34;28.94;-162.03;0.0;54.309;39.468773;-0.342222;25.7;NaN;0.0;4.1;0.0;5 / 33;615;2021-10-20 19:29:38:197
