sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.376;-2.6111;2.915;-1.992;-1.245;9.5241;-0.4479;4.0007;3.6588;-0.4517;-0.4284;0.6918;191.0;-1.69;16.74;-31.31;32.44;7.29;11.81;5.0;53.015;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;18;2021-10-20 19:31:08:828
1.376;-2.6111;2.915;-3.237;-9.1794;1.2163;-0.4479;4.0007;3.6588;-1.302;-0.5719;1.4908;191.0;-1.69;16.74;-31.31;32.44;7.29;11.81;5.0;53.015;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;68;2021-10-20 19:31:08:878
4.9181;-1.113;-1.223;-1.5131;-8.5042;-4.6448;-2.3965;2.9504;9.0888;0.5027;-4.0003;6.1386;191.0;-6.49;14.89;-31.74;32.44;7.29;11.81;5.0;53.015;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;119;2021-10-20 19:31:08:929
10.419;-0.629;-3.0251;-1.5131;-8.5042;-4.6448;-5.3664;1.5966;11.3803;0.5027;-4.0003;6.1386;191.0;-13.26;10.61;-31.8;356.04;60.13;161.96;5.0;53.015;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;169;2021-10-20 19:31:08:979
30.159;5.8541;27.294;0.5076;-8.0876;5.5258;-23.1512;-4.8825;-20.4854;1.691;-4.0809;2.0515;191.0;-13.26;10.61;-31.8;356.04;60.13;161.96;5.0;53.015;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;218;2021-10-20 19:31:09:028
12.8441;7.8311;12.554;3.0263;-6.9671;6.201;-23.1512;-4.8825;-20.4854;1.691;-4.0809;2.0515;191.0;-18.49;10.86;-27.84;356.04;60.13;161.96;5.0;53.015;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;268;2021-10-20 19:31:09:078
-1.452;5.517;4.562;5.9568;-4.9895;5.9855;0.9521;-5.3861;-1.0751;0.209;-0.701;-0.3899;212.0;-22.8;14.34;-22.01;169.26;30.58;-44.86;5.0;53.742;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;319;2021-10-20 19:31:09:129
-1.452;5.517;4.562;4.3479;8.0637;3.5003;0.9521;-5.3861;-1.0751;-1.4263;-0.2069;-2.6172;212.0;-22.8;14.34;-22.01;169.26;30.58;-44.86;5.0;53.742;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;369;2021-10-20 19:31:09:179
-6.893;3.966;1.596;4.4389;8.1211;-3.2465;13.494;-1.3186;3.548;-1.4263;-0.2069;-2.6172;212.0;-26.4;14.21;-19.01;2.5;-55.31;-51.16;5.0;53.742;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;418;2021-10-20 19:31:09:228
-6.888;1.9931;1.139;4.4389;8.1211;-3.2465;11.8939;3.6124;5.1657;1.7794;1.0013;-6.9948;212.0;-28.74;11.94;-17.81;298.68;-55.9;-126.18;5.0;53.742;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;468;2021-10-20 19:31:09:278
3.03;5.16;5.187;7.1299;1.7957;6.4931;-1.5132;2.5266;0.7388;2.0048;1.6552;-5.5813;212.0;-28.74;11.94;-17.81;298.68;-55.9;-126.18;5.0;53.742;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;519;2021-10-20 19:31:09:329
3.588;13.308;10.431;7.3646;-2.399;6.0142;-1.5132;2.5266;0.7388;2.0048;1.6552;-5.5813;212.0;-28.69;10.31;-19.2;70.83;14.16;-50.76;5.0;53.742;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;569;2021-10-20 19:31:09:379
38.487;14.4641;23.9;3.6344;-6.7421;6.1244;-16.9621;-9.6538;-17.3234;-1.2046;-2.2282;-0.7406;212.0;-28.69;10.31;-19.2;70.83;14.16;-50.76;5.0;58.344;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;619;2021-10-20 19:31:09:429
38.487;14.4641;23.9;1.1971;-9.2943;2.8874;-28.6975;-1.3241;-5.6826;-1.2046;-2.2282;-0.7406;128.0;-27.49;7.99;-22.61;70.83;14.16;-50.76;5.0;58.344;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;669;2021-10-20 19:31:09:479
8.574;-3.6259;5.105;-9.4858;-2.2649;1.0295;-0.0841;13.922;1.377;-1.1173;-2.2307;1.9037;128.0;-25.26;2.64;-26.4;156.96;71.41;-22.52;5.0;58.344;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;718;2021-10-20 19:31:09:528
2.1251;-8.277;-5.33;-9.4858;-2.2649;1.0295;-0.0841;13.922;1.377;0.9947;-0.6236;4.738;128.0;-25.26;2.64;-26.4;156.96;71.41;-22.52;5.0;58.344;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;769;2021-10-20 19:31:09:579
-1.565;-9.256;-9.713;-7.0437;-0.8811;-6.766;5.419;14.2432;13.1711;0.9947;-0.6236;4.738;128.0;-22.74;-4.74;-29.4;108.69;5.15;133.85;5.0;58.344;39.468555;-0.339768;7.4;NaN;3.83;4.3;27.82;14 / 33;819;2021-10-20 19:31:09:629
-0.8659;-8.609;-5.309;-7.0581;2.6767;-6.2584;10.2966;10.8459;3.8571;6.3095;-6.5197;6.8969;128.0;-22.74;-8.34;-30.3;158.04;-15.84;131.56;5.0;58.344;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;869;2021-10-20 19:31:09:679
16.659;0.473;-1.8859;-2.7725;-9.0788;-2.4565;10.2966;10.8459;3.8571;3.7594;-5.3072;3.4075;128.0;-22.74;-8.34;-30.3;158.04;-15.84;131.56;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;918;2021-10-20 19:31:09:728
40.9331;16.389;30.162;2.2362;-7.5609;5.8323;-7.9484;-0.7821;-2.6167;3.7594;-5.3072;3.4075;153.0;-25.5;-4.91;-28.86;7.49;67.8;131.54;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;969;2021-10-20 19:31:09:779
40.9331;16.389;30.162;4.549;-7.4172;4.5298;-30.1355;-19.7509;-29.4558;2.742;3.6981;-0.9175;153.0;-25.5;-4.91;-28.86;7.49;67.8;131.54;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1018;2021-10-20 19:31:09:828
8.897;10.362;6.249;8.7963;2.5809;3.4907;-30.1355;-19.7509;-29.4558;-3.7269;2.6087;-2.5974;153.0;-29.94;4.09;-23.7;170.99;49.12;-45.12;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1069;2021-10-20 19:31:09:879
-2.293;6.087;0.6341;8.7963;2.5809;3.4907;11.6654;-5.5595;-3.2514;-3.7269;2.6087;-2.5974;153.0;-33.06;10.56;-18.66;170.99;49.12;-45.12;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1119;2021-10-20 19:31:09:929
-2.072;6.2561;0.186;9.6726;1.3695;0.8859;10.2506;-3.5474;-0.1506;-3.9181;0.3794;-3.7499;153.0;-33.06;10.56;-18.66;170.99;49.12;-45.12;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1169;2021-10-20 19:31:09:979
-4.806;3.401;-0.009;5.5785;7.9296;-1.4796;10.2506;-3.5474;-0.1506;-3.9181;0.3794;-3.7499;153.0;-34.56;11.21;-15.54;321.4;-8.03;-84.77;5.0;57.182;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1219;2021-10-20 19:31:10:029
4.6691;5.862;6.18;7.3694;-0.5315;6.45;11.5775;3.6819;0.3566;-0.1567;-1.0262;-6.9641;153.0;-36.0;10.14;-14.4;58.68;3.11;-48.81;5.0;56.891;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1269;2021-10-20 19:31:10:079
4.6691;5.862;6.18;8.5186;-2.6719;4.0654;-4.349;0.2016;-7.6698;-2.0343;-0.8;-3.1575;102.0;-36.0;10.14;-14.4;58.68;3.11;-48.81;5.0;56.891;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1319;2021-10-20 19:31:10:129
7.8791;17.3771;12.8561;2.9688;-7.4843;5.6024;-4.9487;-8.1074;-11.4654;-2.0343;-0.8;-3.1575;102.0;-36.19;7.56;-16.74;58.68;3.11;-48.81;5.0;56.891;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1369;2021-10-20 19:31:10:179
40.4951;12.9611;13.5041;2.9688;-7.4843;5.6024;-4.9487;-8.1074;-11.4654;-3.4188;-1.2009;0.6897;102.0;-36.19;7.56;-16.74;58.68;3.11;-48.81;5.0;56.891;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1419;2021-10-20 19:31:10:229
4.2101;-7.097;3.042;-1.0678;-9.7013;0.972;-9.2446;9.7619;1.653;-2.0035;-0.931;2.4167;102.0;-35.34;3.66;-19.56;137.34;49.73;-27.92;5.0;56.891;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1468;2021-10-20 19:31:10:278
1.79;-10.283;-7.527;-9.6295;-0.6177;-1.743;5.077;17.6864;5.545;-2.0035;-0.931;2.4167;102.0;-32.1;-3.41;-23.46;137.34;49.73;-27.92;5.0;56.891;39.468544;-0.33976;7.5;NaN;4.12;4.1;26.03;13 / 33;1518;2021-10-20 19:31:10:328
