sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.83;2.07;4.145;1.494;-5.8802;7.7045;-1.404;-0.276;4.4344;0.181;-0.6648;-0.2469;583.0;-0.3;-29.21;-33.66;188.52;36.84;-10.97;5.0;46.243;39.469143;-0.342003;-45.0;NaN;6.89;5.0;237.35;11 / 34;17;2021-10-20 19:28:13:401
5.289;0.552;6.929;0.7087;-6.8426;6.9863;-0.8512;1.5266;2.0927;0.181;-0.6648;-0.2469;560.0;-9.49;-28.01;-30.54;188.52;36.84;-10.97;5.0;46.243;39.469143;-0.342003;-45.0;NaN;6.89;5.0;237.35;15 / 34;67;2021-10-20 19:28:13:451
9.5141;0.062;5.2151;0.0479;-8.6048;4.707;-4.5052;1.0721;2.1516;-0.2442;-1.4281;0.1998;560.0;-9.49;-28.01;-30.54;188.52;36.84;-10.97;5.0;46.243;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;117;2021-10-20 19:28:13:501
12.609;-2.295;1.689;0.0479;-8.6048;4.707;-4.5052;1.0721;2.1516;-0.3079;-2.0591;0.9745;560.0;-22.09;-26.64;-21.36;145.4;61.32;-0.58;5.0;46.243;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;167;2021-10-20 19:28:13:551
15.6401;-0.797;5.055;-0.6081;-9.3518;2.9018;-6.7422;3.6773;6.0532;-0.3079;-2.0591;0.9745;560.0;-22.09;-26.64;-21.36;145.4;61.32;-0.58;5.0;46.243;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;217;2021-10-20 19:28:13:601
15.6401;-0.797;5.055;-1.3503;-9.3422;2.6624;-8.6203;1.7345;1.7333;0.3592;-2.4079;1.3717;560.0;-31.74;-22.44;-11.21;107.61;72.41;11.84;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;266;2021-10-20 19:28:13:650
12.116;-3.207;2.9531;-2.6528;-9.2943;1.6616;-4.1851;3.7071;2.8142;1.05;-1.881;1.6002;560.0;-36.0;-16.01;-7.61;52.62;71.39;57.94;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;317;2021-10-20 19:28:13:701
12.573;-2.673;1.0601;-2.2745;-9.4667;1.1971;-4.1851;3.7071;2.8142;1.05;-1.881;1.6002;560.0;-36.0;-16.01;-7.61;52.62;71.39;57.94;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;367;2021-10-20 19:28:13:751
10.1441;-3.2621;1.467;-2.9401;-9.0788;2.2505;-3.1786;2.7833;3.082;0.789;-1.7164;1.4582;232.0;-37.99;-9.79;-6.24;40.29;74.81;62.24;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;416;2021-10-20 19:28:13:800
9.845;-3.978;1.797;-2.9401;-9.0788;2.2505;-1.128;2.6732;1.2144;0.789;-1.7164;1.4582;232.0;-38.7;-5.89;-4.86;49.55;67.81;52.57;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;467;2021-10-20 19:28:13:851
9.119;-5.5811;0.56;-4.0031;-8.9208;0.7422;0.1603;3.3101;2.6221;0.6711;-1.2426;1.1498;232.0;-38.7;-5.89;-4.86;49.55;67.81;52.57;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;517;2021-10-20 19:28:13:901
9.119;-5.5811;0.56;-5.9185;-7.7859;0.7374;0.1603;3.3101;2.6221;0.4573;-0.9533;1.4772;232.0;-38.21;-3.9;-5.34;49.55;67.81;52.57;5.0;48.308;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;566;2021-10-20 19:28:13:950
7.899;-8.375;1.0121;-6.9959;-6.8761;0.0;1.3455;5.9395;1.2447;0.4573;-0.9533;1.4772;232.0;-38.21;-3.9;-5.34;49.55;67.81;52.57;5.0;45.761;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;617;2021-10-20 19:28:14:001
7.8431;-10.4291;0.842;-7.2832;-5.794;3.0981;1.1521;6.9068;0.9361;-0.3132;-0.8295;1.9372;232.0;-37.5;-3.6;-7.56;19.11;44.51;90.0;5.0;45.761;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;667;2021-10-20 19:28:14:051
7.554;-5.1671;6.0101;-3.62;-7.2544;5.5115;0.9924;0.6137;-4.3994;0.4241;-0.1833;1.8602;232.0;-37.01;-2.64;-11.46;58.38;36.21;66.96;5.0;45.761;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;716;2021-10-20 19:28:14:100
7.52;-4.4059;2.1731;-3.62;-7.2544;5.5115;0.9924;0.6137;-4.3994;0.4241;-0.1833;1.8602;224.0;-37.01;-2.64;-11.46;58.38;36.21;66.96;5.0;45.761;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;766;2021-10-20 19:28:14:150
7.298;-4.2;-1.8349;-5.6647;-7.8913;-1.3695;1.1823;-0.3251;1.8797;0.8436;0.4113;0.73;224.0;-36.6;0.49;-14.46;58.38;36.21;66.96;5.0;45.761;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;816;2021-10-20 19:28:14:200
7.298;-4.2;-1.8349;-3.735;-9.0692;-0.0144;1.1823;-0.3251;1.8797;0.8436;0.4113;0.73;224.0;-36.3;1.99;-14.21;22.12;67.62;90.22;5.0;45.761;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;866;2021-10-20 19:28:14:250
7.961;-3.915;1.359;-4.5729;-8.3127;2.4948;-0.5157;-1.5933;2.1445;-1.774;0.4324;-0.6946;224.0;-36.3;1.99;-14.21;22.12;67.62;90.22;5.0;44.824;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;916;2021-10-20 19:28:14:300
7.008;-4.4899;1.814;-4.5729;-8.3127;2.4948;0.8621;-1.0605;-0.6001;-2.0622;0.4074;-0.5188;224.0;-36.0;2.59;-14.1;22.12;67.62;90.22;0.0;44.824;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;967;2021-10-20 19:28:14:351
7.7;-4.981;1.034;-5.7892;-7.8961;0.5842;0.6348;-0.0415;0.2616;-2.0622;0.4074;-0.5188;224.0;-36.0;2.59;-14.1;22.12;67.62;90.22;0.0;44.824;39.469193;-0.341988;-45.1;NaN;4.58;4.8;215.88;15 / 34;1017;2021-10-20 19:28:14:401
9.2561;-6.06;0.579;-5.3582;-8.1977;0.5076;0.6348;-0.0415;0.2616;-0.4555;0.3196;-0.0615;261.0;-35.21;3.49;-15.84;34.27;53.61;84.24;0.0;44.824;39.46908;-0.342078;-45.0;NaN;4.61;4.4;192.08;15 / 34;1067;2021-10-20 19:28:14:451
