sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
5.459;4.9661;9.047;4.7262;-3.2609;7.9487;-1.5733;0.6293;-0.2174;-0.0896;-0.5998;0.1954;47.0;6.36;-41.59;-10.14;192.97;12.92;-27.48;5.0;46.816;39.468754;-0.340003;18.2;NaN;5.33;9.0;160.49;8 / 33;11;2021-10-20 19:32:22:768
3.5801;-0.234;8.691;0.5555;-3.3423;9.2033;-2.832;1.9701;-1.1312;-0.0896;-0.5998;0.1954;61.0;6.6;-41.81;-12.0;190.07;19.93;-3.45;5.0;46.816;39.468754;-0.340003;18.2;NaN;5.33;9.0;160.49;8 / 33;60;2021-10-20 19:32:22:817
2.5871;-1.11;0.615;-3.7733;-8.8059;2.0973;-1.7541;3.2847;3.2544;-0.8614;-0.6721;0.5077;61.0;6.6;-41.81;-12.0;190.07;19.93;-3.45;5.0;46.816;39.468754;-0.340003;18.2;NaN;5.33;9.0;160.49;8 / 33;111;2021-10-20 19:32:22:868
4.784;-1.1771;3.4991;-1.9058;-7.7716;5.6695;-0.4474;4.9041;6.3139;-1.8223;-1.1705;0.9082;61.0;5.81;-41.34;-14.64;160.81;63.88;60.93;5.0;47.09;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;161;2021-10-20 19:32:22:918
4.784;-1.1771;3.4991;-1.9058;-7.7716;5.6695;-0.4474;4.9041;6.3139;-1.8223;-1.1705;0.9082;61.0;5.81;-41.34;-14.64;160.81;63.88;60.93;5.0;47.09;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;211;2021-10-20 19:32:22:968
5.72;-4.586;-1.002;-6.0813;-7.58;-1.3216;0.7531;5.3551;10.079;-2.6913;-3.7902;2.2507;61.0;2.21;-39.66;-17.81;174.29;52.42;18.58;5.0;47.09;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;261;2021-10-20 19:32:23:018
8.291;-4.758;3.947;-4.5155;-7.8626;3.7397;-1.0698;4.1302;2.6802;-2.6913;-3.7902;2.2507;61.0;-8.16;-37.14;-17.46;174.29;52.42;18.58;5.0;47.09;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;311;2021-10-20 19:32:23:068
10.194;-4.344;6.158;-3.3519;-7.8865;4.7645;-2.4446;2.5632;-0.4045;-1.77;-2.1915;1.4746;53.0;-8.16;-37.14;-17.46;174.29;52.42;18.58;5.0;47.09;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;361;2021-10-20 19:32:23:118
14.9741;-2.999;3.02;-1.8866;-9.4332;1.8962;-2.4446;2.5632;-0.4045;-0.2475;-1.0762;0.7751;53.0;-20.46;-32.81;-11.81;128.11;53.55;35.13;5.0;47.09;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;411;2021-10-20 19:32:23:168
14.9741;-2.999;3.02;-1.8866;-9.4332;1.8962;-6.9732;0.749;2.2043;-0.2475;-1.0762;0.7751;53.0;-20.46;-32.81;-11.81;128.11;53.55;35.13;5.0;56.473;39.46876;-0.340023;18.2;NaN;6.62;7.7;167.61;9 / 33;461;2021-10-20 19:32:23:218
