sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.846;3.312;2.405;8.8681;-4.1851;-0.0335;-0.1904;2.6228;1.4477;-0.2274;2.271;4.943;19.0;-13.91;21.19;34.31;48.81;23.02;-32.26;5.0;33.183;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;17;2021-10-20 19:25:08:507
2.759;4.782;7.934;8.8681;-4.1851;-0.0335;0.0186;2.0731;7.9833;-0.2274;2.271;4.943;19.0;-13.91;21.19;34.31;48.81;23.02;-32.26;5.0;33.183;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;67;2021-10-20 19:25:08:557
7.226;3.387;4.385;6.3925;-6.0334;4.3479;-3.8209;0.7535;6.333;0.3946;1.4246;2.8779;19.0;-15.41;22.39;32.81;59.39;37.97;-55.78;5.0;33.183;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;116;2021-10-20 19:25:08:606
7.226;3.387;4.385;0.656;-6.0238;7.7093;-3.8209;0.7535;6.333;1.2852;-0.5775;2.3533;19.0;-19.14;21.54;32.64;30.72;37.9;-4.86;5.0;33.183;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;166;2021-10-20 19:25:08:656
2.36;0.854;4.6691;4.3;-4.5538;7.5465;1.7284;5.2721;3.613;1.2852;-0.5775;2.3533;19.0;-19.14;21.54;32.64;30.72;37.9;-4.86;5.0;33.183;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;216;2021-10-20 19:25:08:706
5.6051;3.518;9.0401;4.3;-4.5538;7.5465;-1.5218;1.7325;-1.8172;0.489;-0.1492;2.2744;19.0;-23.64;19.61;34.01;55.49;27.67;-29.67;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;266;2021-10-20 19:25:08:756
8.739;3.4271;1.9961;2.0399;-8.8538;3.6871;-1.5218;1.7325;-1.8172;0.1818;-0.396;1.7203;22.0;-23.64;19.61;34.01;55.49;27.67;-29.67;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;317;2021-10-20 19:25:08:807
2.022;3.705;6.458;6.9719;-6.8809;0.4405;-3.8368;-0.2199;7.2253;0.1818;-0.396;1.7203;22.0;-27.24;15.9;38.94;58.66;64.55;-28.95;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;367;2021-10-20 19:25:08:857
3.645;-3.341;8.7431;-1.0534;-3.5243;9.0932;1.0579;5.8557;-5.5493;0.0965;-0.8243;0.6408;22.0;-31.44;13.09;44.4;58.66;64.55;-28.95;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;417;2021-10-20 19:25:08:907
3.645;-3.341;8.7431;-1.3551;-9.6822;-0.7709;1.0579;5.8557;-5.5493;0.0965;-0.8243;0.6408;22.0;-31.44;13.09;44.4;58.66;64.55;-28.95;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;466;2021-10-20 19:25:08:956
12.75;2.1011;-13.344;-1.3982;-7.5274;6.1292;-5.1705;5.2906;7.6025;-1.1297;-0.4085;1.2706;22.0;-38.1;13.09;49.61;279.36;80.85;119.64;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;516;2021-10-20 19:25:09:006
12.545;-1.668;6.374;-1.3982;-7.5274;6.1292;-5.1705;5.2906;7.6025;-1.1297;-0.4085;1.2706;22.0;-38.1;13.09;49.61;279.36;80.85;119.64;5.0;34.578;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;566;2021-10-20 19:25:09:056
14.309;-3.2839;7.602;-1.312;-8.5712;4.5873;-5.3464;3.7347;-0.0312;-1.5694;-1.6823;1.7023;22.0;-45.84;16.44;51.96;30.27;50.13;12.85;5.0;47.382;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;617;2021-10-20 19:25:09:107
14.309;-3.2839;7.602;-0.1149;-9.7205;1.2833;-18.9583;2.0294;-6.1694;-1.5694;-1.6823;1.7023;22.0;-59.81;28.09;57.11;30.27;50.13;12.85;5.0;47.382;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;667;2021-10-20 19:25:09:157
33.135;4.433;-23.0381;-3.8116;-6.7469;6.0142;-0.8965;6.0406;-4.7639;-0.4771;-0.8257;0.8297;22.0;-59.81;28.09;57.11;30.27;50.13;12.85;5.0;47.382;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;717;2021-10-20 19:25:09:207
12.183;-7.492;12.432;-6.3925;-7.1204;-2.15;-0.8965;6.0406;-4.7639;-0.9027;-1.4215;0.5266;22.0;-42.54;-18.24;-6.41;91.04;43.46;32.36;0.0;47.382;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;766;2021-10-20 19:25:09:256
3.738;1.3451;-1.354;-0.9194;-8.3558;5.0613;8.1266;-1.2625;16.1344;-0.9027;-1.4215;0.5266;22.0;-43.8;-15.11;-5.64;91.04;43.46;32.36;0.0;47.382;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;816;2021-10-20 19:25:09:306
1.7111;0.873;-3.65;1.8771;-8.327;-4.8267;7.4946;-2.3036;6.7242;-6.6071;0.4602;-0.1793;22.0;-43.8;-15.11;-5.64;91.04;43.46;32.36;0.0;47.382;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;867;2021-10-20 19:25:09:357
6.726;-3.6551;-0.746;1.8771;-8.327;-4.8267;7.4946;-2.3036;6.7242;-8.368;-0.7232;-0.6673;22.0;-44.46;-15.36;-1.2;243.45;58.12;-158.75;0.0;53.732;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;916;2021-10-20 19:25:09:406
13.404;-5.763;0.864;-4.5681;-4.1468;-7.6231;2.6457;1.5141;2.7322;-8.368;-0.7232;-0.6673;0.0;-44.46;-14.4;4.09;263.44;25.01;149.07;0.0;53.732;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;966;2021-10-20 19:25:09:456
13.404;-5.763;0.864;-3.5961;-8.9783;1.6233;-3.9861;3.3783;0.4923;-4.1792;-0.3242;0.3163;0.0;-44.46;-14.4;4.09;263.44;25.01;149.07;0.0;53.732;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;1016;2021-10-20 19:25:09:506
11.324;-4.923;-2.958;-3.9648;-8.9687;-0.2298;-0.1925;1.1597;0.9166;-1.449;-0.2084;0.7497;0.0;-44.21;-14.89;8.81;16.2;66.28;65.71;0.0;53.732;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;1066;2021-10-20 19:25:09:556
7.7;-2.601;1.728;-0.5555;-9.596;1.9537;-0.1925;1.1597;0.9166;-1.449;-0.2084;0.7497;0.0;-43.61;-15.19;9.24;66.74;78.05;15.87;0.0;53.732;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;1117;2021-10-20 19:25:09:607
5.139;4.899;-4.44;6.1483;2.2601;-7.2975;2.1421;-2.8755;-0.9055;0.3191;-0.1002;-0.1902;0.0;-43.61;-15.19;9.24;66.74;78.05;15.87;0.0;53.732;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;1166;2021-10-20 19:25:09:656
8.7;7.31;-6.1421;6.1483;2.2601;-7.2975;10.3267;-5.5411;3.4096;0.3191;-0.1002;-0.1902;0.0;-43.8;-15.71;8.34;255.02;-13.33;-139.89;0.0;56.788;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;1217;2021-10-20 19:25:09:707
8.265;-3.272;7.623;5.0853;-6.5553;-5.2337;-2.4155;-6.3108;-3.9634;-5.0487;-1.1659;-2.0112;0.0;-43.8;-15.71;8.34;255.02;-13.33;-139.89;0.0;56.788;39.468956;-0.341159;66.5;NaN;;26.4;;0 / 33;1267;2021-10-20 19:25:09:757
