sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-6.577;-2.649;5.1431;-2.964;7.3646;5.7604;-5.4439;2.0938;4.8572;-1.9693;-0.111;0.6813;35.0;12.71;-34.86;-24.06;208.84;66.55;-7.54;5.0;48.522;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;12;2021-10-20 19:34:56:319
8.042;-11.9531;-1.754;-8.078;-5.4348;-1.1779;-1.2616;11.2078;9.2767;-1.9693;-0.111;0.6813;35.0;3.0;-32.51;-26.21;110.26;-48.66;27.23;5.0;52.887;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;63;2021-10-20 19:34:56:370
27.818;-9.933;-1.0789;-3.2944;-9.232;-0.3591;-20.9723;10.9553;1.5841;-4.802;-2.3068;2.6478;35.0;-18.49;-28.86;-13.31;52.66;70.25;96.22;5.0;52.887;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;114;2021-10-20 19:34:56:421
34.808;-2.874;15.855;-0.7326;-8.9016;4.0558;-23.8146;4.5127;0.3162;-0.736;-4.1008;1.1007;13.0;-18.49;-28.86;-13.31;52.66;70.25;96.22;5.0;52.887;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;163;2021-10-20 19:34:56:470
34.808;-2.874;15.855;-0.7326;-8.9016;4.0558;-23.8146;4.5127;0.3162;-0.736;-4.1008;1.1007;13.0;-37.01;-14.1;-4.86;96.7;65.16;10.24;5.0;52.887;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;213;2021-10-20 19:34:56:520
19.716;0.828;7.638;0.3783;-9.1411;3.5386;-15.0824;-5.8821;13.3624;0.9926;-2.9151;-0.4546;13.0;-37.01;-14.1;-4.86;96.7;65.16;10.24;5.0;52.887;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;262;2021-10-20 19:34:56:569
2.4;4.2341;-13.2791;2.9305;-1.6664;-9.2129;-1.6133;-6.6925;7.5543;0.9926;-2.9151;-0.4546;13.0;-39.79;-4.86;-9.36;109.98;68.73;-6.1;5.0;52.887;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;312;2021-10-20 19:34:56:619
10.182;3.4751;-1.3811;3.1412;-9.2081;-1.245;-2.6526;-5.1706;0.6156;-2.4838;-2.0981;-2.0446;13.0;-38.76;-5.04;-13.56;221.53;69.85;-111.62;0.0;61.17;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;362;2021-10-20 19:34:56:669
7.743;-3.736;1.6991;-4.1803;-8.667;1.8914;4.5306;1.56;0.9567;-4.7564;-1.9704;-1.7414;13.0;-38.76;-5.04;-13.56;221.53;69.85;-111.62;0.0;61.17;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;413;2021-10-20 19:34:56:720
7.319;-5.0359;-3.564;-5.1571;-7.5034;-3.6488;4.5306;1.56;0.9567;-4.7564;-1.9704;-1.7414;13.0;-39.36;-8.59;-10.2;221.53;69.85;-111.62;0.0;61.17;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;462;2021-10-20 19:34:56:769
12.255;-4.4231;1.046;-5.1571;-7.5034;-3.6488;2.4222;3.9002;3.8826;1.8893;-0.5228;0.6815;0.0;-39.36;-12.36;-2.34;309.97;49.9;125.28;0.0;61.17;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;512;2021-10-20 19:34:56:819
12.255;-4.4231;1.046;-3.3136;-9.1985;0.7757;-2.5985;2.6464;-1.0611;2.7951;-1.0036;1.104;0.0;-39.36;-12.36;-2.34;309.97;49.9;125.28;0.0;61.17;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;562;2021-10-20 19:34:56:869
21.8201;-5.313;-2.056;-1.8435;-9.5002;-1.5897;-6.7701;0.745;2.2457;2.7951;-1.0036;1.104;0.0;-38.16;-14.64;1.91;309.97;49.9;125.28;0.0;61.17;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;612;2021-10-20 19:34:56:919
17.294;-2.0321;2.1371;-3.0454;-9.1458;-1.8004;-6.7701;0.745;2.2457;2.6711;-0.8319;0.1367;0.0;-37.44;-17.34;2.16;310.15;75.63;130.77;0.0;62.372;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;663;2021-10-20 19:34:56:970
3.3821;-1.936;-5.584;-0.8045;-0.2825;-9.7683;-0.6523;0.803;1.5069;1.5855;-0.7521;-0.1009;0.0;-37.44;-17.34;2.16;310.15;75.63;130.77;0.0;62.372;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;713;2021-10-20 19:34:57:020
-4.739;-1.5671;-0.713;-0.8045;-0.2825;-9.7683;15.3153;-0.3228;-1.6888;1.5855;-0.7521;-0.1009;0.0;-36.9;-21.06;-0.79;310.15;75.63;130.77;0.0;62.372;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;763;2021-10-20 19:34:57:070
35.811;-1.476;12.14;-0.8475;9.3039;-2.9832;15.4489;2.8247;-1.6651;0.7864;-0.963;0.7721;0.0;-36.9;-21.9;-1.39;243.69;-71.57;164.14;0.0;62.372;39.469074;-0.341025;14.5;NaN;0.0;3.1;312.31;9 / 34;813;2021-10-20 19:34:57:120
35.811;-1.476;12.14;-4.2856;-8.7388;1.2163;15.4489;2.8247;-1.6651;0.7864;-0.963;0.7721;0.0;-36.9;-21.9;-1.39;243.69;-71.57;164.14;0.0;62.372;39.469074;-0.34101;14.5;NaN;0.0;3.3;312.31;6 / 34;863;2021-10-20 19:34:57:170
10.1321;-2.846;-2.8841;-5.9807;-6.9863;-3.4093;-1.2893;-1.4124;2.4648;2.0543;0.5774;1.6805;0.0;-39.06;-19.5;-2.51;243.69;-71.57;164.14;0.0;62.372;39.469074;-0.34101;14.5;NaN;0.0;3.3;312.31;6 / 34;912;2021-10-20 19:34:57:219
8.846;-9.737;1.737;-6.8953;-6.6511;2.1069;-1.2893;-1.4124;2.4648;0.8019;0.18;0.2513;0.0;-39.06;-19.5;-2.51;243.69;-71.57;164.14;0.0;64.888;39.469074;-0.34101;14.5;NaN;0.0;3.3;312.31;6 / 34;962;2021-10-20 19:34:57:269
15.417;-4.861;13.2221;0.0096;-8.8155;-4.3;-1.1244;5.7346;-3.1511;0.8019;0.18;0.2513;0.0;-40.61;-14.1;-6.19;49.55;42.69;73.01;0.0;64.888;39.469074;-0.34101;14.5;NaN;0.0;3.3;312.31;6 / 34;1013;2021-10-20 19:34:57:320
