sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.514;1.752;9.56;1.7334;0.6129;9.6343;-0.123;0.0885;-0.0685;-0.0498;-0.0726;-0.043;125.0;-24.79;-32.29;-35.29;148.62;-1.99;-9.79;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;5;2021-10-20 21:02:52:412
-0.603;1.7321;9.3491;1.7334;0.6129;9.6343;0.1285;0.0177;0.2624;-0.0373;-0.0494;-0.0322;125.0;-24.79;-32.29;-35.29;148.62;-1.99;-9.79;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;25;2021-10-20 21:02:52:432
-0.603;1.7321;9.3491;1.8914;0.6081;9.6055;0.1285;0.0177;0.2624;-0.0373;-0.0494;-0.0322;236.0;-24.79;-32.51;-35.04;149.78;-3.55;-11.14;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;44;2021-10-20 21:02:52:451
-0.524;1.859;9.3161;1.8771;0.3735;9.6199;0.1207;-0.0567;0.3592;-0.025;-0.0268;-0.0186;236.0;-24.79;-32.51;-35.04;149.78;-3.55;-11.14;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;65;2021-10-20 21:02:52:472
-0.4091;1.835;9.416;1.8771;0.3735;9.6199;-0.048;-0.0381;0.1705;-0.025;-0.0268;-0.0186;236.0;-24.96;-32.04;-35.4;149.78;-3.55;-11.14;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;84;2021-10-20 21:02:52:491
-0.5861;1.728;10.326;1.6664;0.5267;9.6486;-0.048;-0.0381;0.1705;-0.0187;-0.022;-0.0109;236.0;-24.96;-32.04;-35.4;149.78;-3.55;-11.14;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;105;2021-10-20 21:02:52:512
-0.5861;1.728;10.326;1.2785;0.1963;9.7205;0.0909;0.0271;-0.3873;-0.0151;-0.0025;0.0033;236.0;-24.96;-31.99;-35.7;148.17;-3.08;-9.8;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;125;2021-10-20 21:02:52:532
0.0071;1.407;10.73;1.2785;0.1963;9.7205;-0.4936;0.3609;-1.067;-0.0151;-0.0025;0.0033;236.0;-24.96;-31.99;-35.7;148.17;-3.08;-9.8;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;145;2021-10-20 21:02:52:552
-0.138;1.7591;10.22;1.5467;-0.1149;9.6822;-0.4936;0.3609;-1.067;-0.0216;-0.0161;-0.0025;236.0;-25.26;-31.69;-35.4;148.17;-3.08;-9.8;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;164;2021-10-20 21:02:52:571
-0.138;1.7591;10.22;2.1787;0.6225;9.5433;-0.5723;0.0707;-0.8346;-0.0216;-0.0161;-0.0025;236.0;-25.26;-31.69;-35.4;148.17;-3.08;-9.8;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;185;2021-10-20 21:02:52:592
-0.607;2.13;8.7431;2.1787;0.6225;9.5433;-0.5723;0.0707;-0.8346;-0.0208;-0.0213;0.0063;236.0;-25.61;-31.26;-35.81;148.55;-3.64;-12.86;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;205;2021-10-20 21:02:52:612
0.023;2.348;7.7531;2.8108;0.0144;9.3948;0.1041;-0.495;1.183;-0.0069;-0.0114;0.0594;236.0;-25.61;-31.26;-35.81;148.55;-3.64;-12.86;5.0;30.135;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;224;2021-10-20 21:02:52:631
-0.122;2.0771;7.6541;2.5474;0.1532;9.4715;-0.4176;-0.4518;2.0683;-0.0069;-0.0114;0.0594;236.0;-25.8;-31.44;-35.64;148.55;-3.64;-12.86;5.0;29.079;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;244;2021-10-20 21:02:52:651
-0.122;2.0771;7.6541;2.5474;0.1532;9.4715;-0.4176;-0.4518;2.0683;0.0792;-0.0697;0.1189;236.0;-25.8;-31.44;-35.64;148.55;-3.64;-12.86;5.0;29.079;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;265;2021-10-20 21:02:52:672
0.737;1.862;9.047;1.9201;-0.8332;9.5816;-0.4954;-0.1904;1.5894;0.0792;-0.0697;0.1189;236.0;-26.21;-31.74;-35.64;152.46;4.87;-11.33;5.0;29.079;39.468952;-0.340972;69.4;NaN;;15.076;;0 / 19;284;2021-10-20 21:02:52:691
