sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.471;2.745;9.457;2.528;0.484;9.462;-0.211;2.496;-2.136;-0.679;-0.454;-0.888;49.0;-16.0;-7.1;-24.2;118.3;-4.5;-17.7;5.0;40.68;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;20;2021-10-26 23:10:17:437
-1.972;3.798;6.771;4.539;2.907;8.193;0.742;1.259;2.258;-0.759;-0.446;-0.972;49.0;-12.0;-7.1;-25.4;313.2;-17.2;-29.0;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;71;2021-10-26 23:10:17:488
-4.983;8.219;10.089;6.091;4.075;6.517;3.006;-1.02;2.473;-0.11;0.544;-0.355;49.0;-8.2;-7.4;-26.1;287.7;-24.6;-43.1;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;121;2021-10-26 23:10:17:538
1.366;5.761;3.123;8.332;-1.671;4.894;-1.096;-2.747;2.384;0.458;1.374;0.374;49.0;-1.2;-8.3;-26.6;285.2;-35.2;-49.0;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;171;2021-10-26 23:10:17:588
-5.0;10.819;3.789;8.389;4.017;3.103;3.324;-4.034;4.031;0.947;2.42;1.442;49.0;4.1;-10.4;-25.9;252.8;-9.0;-50.7;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;220;2021-10-26 23:10:17:637
-3.001;6.158;-0.694;8.782;4.357;-0.244;2.274;-1.517;8.712;1.174;3.188;1.714;49.0;9.6;-12.4;-24.7;250.5;-24.2;-69.7;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;270;2021-10-26 23:10:17:687
-4.073;1.158;0.112;2.504;9.438;0.934;0.921;3.452;2.058;0.59;3.274;1.414;49.0;16.5;-15.2;-22.4;245.6;-74.2;-69.6;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;321;2021-10-26 23:10:17:738
-3.59;5.354;2.843;7.724;5.071;3.29;0.391;5.089;2.704;0.391;2.682;-0.02;37.0;21.7;-16.9;-20.0;288.3;-49.1;3.2;5.0;38.59;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;371;2021-10-26 23:10:17:788
-9.363;1.776;-1.95;4.108;1.891;-8.701;-0.087;-4.526;28.66;1.161;2.764;-1.119;37.0;23.6;-18.1;-18.2;175.0;-51.8;-135.4;5.0;44.33;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;420;2021-10-26 23:10:17:837
1.543;2.838;7.396;2.174;1.097;9.5;-5.744;5.267;-16.12;0.993;2.351;-1.018;37.0;24.9;-19.3;-17.0;149.5;-11.1;-154.7;0.0;44.33;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;470;2021-10-26 23:10:17:887
11.185;25.93;6.089;8.744;-3.984;1.973;-16.48;-19.27;-3.613;-1.938;5.054;4.562;37.0;24.5;-21.8;-15.9;238.7;20.6;-71.5;0.0;44.33;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;520;2021-10-26 23:10:17:937
-6.963;9.462;-0.351;8.107;5.43;-0.958;-4.295;-6.566;9.433;-1.938;5.054;4.562;37.0;23.6;-23.8;-14.9;186.3;10.9;-118.1;0.0;44.33;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;570;2021-10-26 23:10:17:987
-4.023;5.333;5.701;5.928;4.377;6.474;1.202;3.692;-3.665;-0.882;3.722;3.465;37.0;23.7;-24.1;-14.3;216.4;-39.4;-70.9;0.0;44.33;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;621;2021-10-26 23:10:18:038
-2.661;8.499;2.745;8.897;2.758;3.079;-0.265;1.947;-1.492;-0.25;2.649;1.838;0.0;24.1;-23.2;-14.2;217.8;-16.3;-70.9;0.0;44.33;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;670;2021-10-26 23:10:18:087
-3.559;8.945;-0.698;8.921;4.056;-0.311;0.775;0.16;2.698;-1.198;1.667;-0.619;0.0;24.0;-22.4;-14.7;202.6;-18.5;-96.8;0.0;60.73;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;721;2021-10-26 23:10:18:138
-3.949;8.468;2.542;8.701;3.874;2.342;1.397;0.884;-0.448;-0.972;1.494;-0.246;0.0;21.8;-22.1;-16.5;219.1;-26.3;-72.4;0.0;60.73;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;770;2021-10-26 23:10:18:187
-2.977;8.861;2.214;9.026;2.792;2.629;-0.021;0.235;-0.112;0.241;0.3;-0.248;0.0;21.0;-22.3;-17.6;217.0;-20.3;-80.3;0.0;60.73;39.46892;-0.34092;69.4;NaN;;13.96;;0 / 31;821;2021-10-26 23:10:18:238
