sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-7.3459;-3.48;6.618;-3.6392;7.0294;5.7844;5.5547;6.8954;-1.8082;0.7264;0.987;-4.7036;0.0;13.31;-20.34;-36.19;319.84;-64.77;-11.36;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;12;2021-10-20 22:34:39:862
-6.058;-4.547;1.7921;-6.0382;7.6327;1.2163;3.341;8.9263;1.4091;0.9114;0.9032;-4.7406;0.0;13.91;-21.96;-34.86;31.1;-45.81;32.18;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;32;2021-10-20 22:34:39:882
-4.21;-4.904;-5.835;-6.1579;5.8131;-4.9512;0.8683;9.6954;7.9766;1.151;1.0189;-4.6746;0.0;13.74;-23.64;-33.49;31.1;-45.81;32.18;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;52;2021-10-20 22:34:39:902
-3.506;-5.1941;-8.346;-4.9704;2.5379;-8.0637;-1.1226;9.7295;14.1239;1.151;1.0189;-4.6746;0.0;13.44;-25.5;-32.21;129.03;-36.34;128.8;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;72;2021-10-20 22:34:39:922
-2.4;-5.727;-9.198;-5.2577;1.6376;-8.1163;-3.2952;10.1043;15.6147;1.151;1.0189;-4.6746;0.0;13.01;-27.19;-30.84;129.03;-36.34;128.8;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;92;2021-10-20 22:34:39:942
-0.0761;-6.003;-6.388;-6.8474;0.0;-7.0198;-5.8039;9.8929;13.8263;1.151;1.0189;-4.6746;0.0;12.0;-28.2;-29.46;139.81;-9.61;147.07;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;112;2021-10-20 22:34:39:962
0.342;-6.2711;-6.0941;-7.0198;-0.4405;-6.8378;-7.7883;9.4726;11.3864;1.151;1.0189;-4.6746;0.0;10.8;-29.7;-28.39;139.81;-9.61;147.07;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;132;2021-10-20 22:34:39:982
-1.823;-6.525;-7.164;-7.1491;-1.2593;-6.5936;-8.1961;8.7136;10.7579;0.8708;5.7157;-6.168;0.0;10.09;-30.96;-27.54;138.37;2.57;134.25;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;152;2021-10-20 22:34:40:002
-0.945;-5.9719;-5.835;-7.1012;0.5698;-6.7421;-10.7282;7.4236;7.7147;0.8954;6.7658;-5.8146;0.0;9.9;-31.8;-26.89;138.37;2.57;134.25;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;172;2021-10-20 22:34:40:022
-1.675;-5.5961;-4.935;-7.3119;2.3463;-6.1004;-8.0237;6.3381;7.0323;1.5128;7.2841;-4.7642;0.0;9.54;-32.29;-26.21;141.68;-3.33;133.51;5.0;36.585;39.468945;-0.340941;69.4;NaN;;17.702;;0 / 34;193;2021-10-20 22:34:40:043
