sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.156;8.696;3.358;8.95;2.174;3.371;-0.397;0.251;-0.381;-0.009;-0.264;0.123;20.0;22.1;-12.7;-16.9;235.2;-12.2;-71.8;5.0;32.66;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;9;2021-10-26 22:12:22:132
-2.058;8.952;3.324;8.93;2.073;3.481;-0.298;0.202;-1.031;-0.043;-0.355;0.081;20.0;21.7;-13.1;-17.4;237.4;-12.4;-66.6;5.0;32.66;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;59;2021-10-26 22:12:22:182
-1.893;8.772;2.941;9.103;1.863;3.141;-0.484;0.379;-0.06;-0.056;-0.418;0.054;20.0;21.1;-13.3;-17.9;237.1;-10.4;-71.4;5.0;32.66;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;109;2021-10-26 22:12:22:232
-1.792;8.765;3.152;9.06;1.853;3.27;-0.584;0.36;-0.118;-0.084;-0.393;0.043;20.0;21.1;-13.2;-17.8;237.7;-11.0;-69.4;5.0;32.66;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;159;2021-10-26 22:12:22:282
-1.665;8.858;3.559;8.964;1.662;3.615;-0.481;0.286;-0.328;-0.075;-0.376;0.045;20.0;20.3;-13.0;-18.4;238.5;-9.8;-68.0;5.0;32.66;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;209;2021-10-26 22:12:22:332
-1.627;8.767;3.303;9.031;1.709;3.414;-0.5;0.34;-0.09;-0.046;-0.354;0.068;20.0;20.6;-13.3;-18.4;238.0;-9.7;-69.8;5.0;24.3;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;259;2021-10-26 22:12:22:382
-1.589;8.672;3.025;9.141;1.623;3.16;-0.582;0.272;-0.006;-0.045;-0.314;0.082;21.0;20.2;-13.6;-18.6;238.0;-9.4;-70.1;5.0;24.3;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;309;2021-10-26 22:12:22:432
-1.347;8.727;3.114;9.165;1.393;3.199;-0.532;0.317;0.046;-0.031;-0.254;0.105;21.0;20.5;-13.6;-18.1;236.1;-8.8;-70.8;5.0;24.3;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;359;2021-10-26 22:12:22:482
-1.364;8.782;3.403;9.036;1.475;3.519;-0.376;0.312;-0.176;-0.024;-0.177;0.118;21.0;19.9;-13.6;-18.2;236.9;-8.6;-68.7;5.0;24.3;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;409;2021-10-26 22:12:22:532
-1.378;8.889;3.164;9.155;1.322;3.261;-0.477;0.29;0.006;-0.019;-0.148;0.116;21.0;19.9;-13.9;-18.3;236.9;-7.8;-69.5;5.0;24.3;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;460;2021-10-26 22:12:22:583
-1.273;8.942;2.925;9.227;1.24;3.079;-0.431;0.149;0.339;-0.015;-0.126;0.113;21.0;19.9;-14.2;-18.1;235.9;-7.9;-72.2;5.0;24.3;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;509;2021-10-26 22:12:22:632
-1.215;8.906;2.946;9.227;1.259;3.074;-0.31;0.198;0.357;0.003;-0.118;0.105;21.0;19.7;-14.5;-17.8;236.4;-7.3;-71.5;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;559;2021-10-26 22:12:22:682
-1.244;9.024;2.96;9.242;1.274;3.021;-0.369;0.075;0.358;0.067;-0.111;0.098;21.0;19.4;-14.2;-17.6;236.0;-7.5;-71.9;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;609;2021-10-26 22:12:22:732
-1.278;9.038;3.03;9.237;1.144;3.093;-0.232;0.105;0.211;0.12;-0.094;0.084;20.0;19.3;-14.4;-17.5;235.0;-7.6;-71.5;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;659;2021-10-26 22:12:22:782
-1.218;9.246;2.836;9.299;1.211;2.863;-0.342;0.03;0.364;0.109;-0.052;0.089;20.0;19.4;-14.3;-17.3;234.9;-6.6;-72.6;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;709;2021-10-26 22:12:22:832
-1.266;9.067;3.085;9.251;1.25;3.002;-0.189;0.044;0.079;0.098;-0.03;0.089;20.0;19.9;-14.6;-17.4;233.2;-7.0;-72.7;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;759;2021-10-26 22:12:22:882
-1.12;9.04;2.946;9.28;1.164;2.954;-0.194;0.147;0.226;0.069;0.014;0.093;20.0;20.3;-14.9;-17.2;233.6;-6.9;-71.6;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;809;2021-10-26 22:12:22:932
-1.043;9.062;3.018;9.256;1.073;3.06;-0.274;0.214;0.231;0.05;0.055;0.093;20.0;20.2;-15.0;-17.2;233.7;-6.3;-71.9;5.0;22.56;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;859;2021-10-26 22:12:22:982
-1.11;9.021;3.018;9.227;1.03;3.151;-0.207;0.2;0.017;0.03;0.094;0.103;20.0;19.9;-15.0;-17.3;233.6;-7.0;-71.7;5.0;19.82;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;909;2021-10-26 22:12:23:032
-1.053;8.997;3.138;9.218;1.077;3.17;-0.182;0.261;-0.019;0.007;0.086;0.097;21.0;19.6;-15.0;-17.6;234.1;-6.0;-71.1;5.0;19.82;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;959;2021-10-26 22:12:23:082
-1.065;8.851;2.948;9.242;1.092;3.089;-0.143;0.291;-0.018;-0.038;0.074;0.088;21.0;19.6;-15.4;-18.1;235.0;-6.4;-71.5;5.0;19.82;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;1009;2021-10-26 22:12:23:132
-1.093;8.894;3.054;9.194;1.125;3.223;-0.151;0.357;0.001;-0.041;0.011;0.06;21.0;19.6;-15.3;-18.4;235.1;-6.6;-71.2;5.0;19.82;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;1059;2021-10-26 22:12:23:182
-1.122;8.854;3.114;9.175;1.144;3.266;-0.052;0.436;0.085;-0.041;-0.028;0.042;21.0;19.7;-15.2;-17.9;235.0;-7.0;-71.0;5.0;19.82;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;1109;2021-10-26 22:12:23:232
-1.146;8.918;3.14;9.179;1.188;3.232;-0.006;0.294;0.0;-0.033;-0.056;0.011;21.0;19.7;-15.1;-17.5;235.2;-6.8;-70.7;5.0;19.82;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;1159;2021-10-26 22:12:23:282
-1.144;8.949;3.078;9.184;1.164;3.232;0.003;0.274;0.007;-0.035;-0.025;-0.001;21.0;19.6;-15.3;-17.2;233.9;-6.8;-70.8;5.0;21.0;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;1209;2021-10-26 22:12:23:332
-1.024;8.861;3.178;9.194;1.02;3.256;-0.16;0.352;0.13;-0.041;0.039;0.012;21.0;19.7;-15.6;-17.2;232.3;-6.3;-71.4;5.0;21.0;39.46888;-0.34092;69.4;NaN;;15.708;;0 / 20;1259;2021-10-26 22:12:23:382
