sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-5.306;6.63;-2.245;7.475;5.77;-2.658;-4.543;2.064;2.274;0.946;1.47;-0.775;29.0;34.8;-6.0;-13.9;183.1;-36.0;-109.6;5.0;29.93;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;14;2021-10-26 23:10:43:930
-7.501;12.954;-1.725;8.495;4.817;-0.924;1.952;-5.562;5.584;0.896;2.166;0.211;29.0;35.4;-4.5;-13.5;181.7;-30.6;-110.8;5.0;50.61;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;64;2021-10-26 23:10:43:980
-6.264;9.205;5.333;7.183;4.822;4.616;0.16;-3.469;-6.707;-0.868;1.917;0.704;29.0;34.2;-2.8;-15.5;247.4;-25.9;-58.2;5.0;50.61;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;114;2021-10-26 23:10:44:030
-6.12;9.335;4.538;7.259;5.071;4.219;0.007;-3.233;-3.545;-1.247;1.59;0.669;22.0;31.8;-1.3;-18.5;245.1;-29.6;-66.5;5.0;50.61;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;163;2021-10-26 23:10:44:079
-8.195;1.539;6.041;1.92;5.602;7.815;1.868;5.297;-9.474;-1.939;1.34;0.481;22.0;25.3;1.0;-26.1;291.2;-34.8;-13.8;5.0;50.61;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;213;2021-10-26 23:10:44:129
-6.783;0.122;4.631;0.081;8.236;5.325;1.372;7.631;-2.557;-1.939;1.34;0.481;22.0;20.5;2.0;-30.8;289.0;-16.8;-12.4;5.0;50.61;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;263;2021-10-26 23:10:44:179
-3.348;1.206;7.305;1.484;4.19;8.744;-1.842;6.196;-6.138;-1.939;1.34;0.481;22.0;12.5;4.1;-35.2;320.0;-30.9;-2.6;5.0;50.61;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;313;2021-10-26 23:10:44:229
-2.554;2.068;7.573;2.351;3.136;8.988;-3.763;3.738;-2.772;-2.287;-2.003;-2.05;22.0;7.7;5.3;-36.6;311.5;-22.1;-12.0;5.0;47.77;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;364;2021-10-26 23:10:44:280
-2.178;1.632;9.469;1.781;2.059;9.424;-3.743;3.904;-3.305;-0.715;-2.541;-2.761;22.0;2.8;6.4;-37.6;323.6;-12.1;-10.7;5.0;47.77;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;413;2021-10-26 23:10:44:329
-0.914;5.778;10.263;4.855;0.881;8.475;-4.848;-0.165;-3.868;-0.699;-2.493;-0.725;22.0;0.1;6.8;-37.7;302.9;-5.0;-24.0;5.0;47.77;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;463;2021-10-26 23:10:44:379
-0.655;4.94;11.853;3.658;0.469;9.084;-4.524;-1.11;-2.238;-0.407;-2.456;-0.466;30.0;-1.7;6.9;-37.6;291.0;-0.8;-32.2;5.0;47.77;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;513;2021-10-26 23:10:44:429
0.466;8.43;8.856;6.752;-0.402;7.101;-4.235;-3.351;-2.828;0.434;-2.131;0.274;30.0;-2.2;7.1;-37.5;289.8;-0.1;-35.0;5.0;47.77;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;564;2021-10-26 23:10:44:480
-0.27;7.192;10.993;5.382;0.321;8.193;-4.085;-3.207;-2.981;0.614;-1.868;0.502;30.0;0.5;5.5;-37.8;288.6;-1.9;-33.3;5.0;47.77;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;614;2021-10-26 23:10:44:530
-4.715;3.363;7.544;4.554;3.519;7.939;0.056;-0.8;1.61;0.742;-1.268;0.256;30.0;3.2;3.2;-37.5;283.8;-15.7;-55.3;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;664;2021-10-26 23:10:44:580
-9.304;1.907;0.811;3.084;9.232;1.188;5.084;2.215;5.065;0.886;-0.737;-0.703;30.0;6.6;0.2;-37.0;313.3;-60.0;-31.8;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;714;2021-10-26 23:10:44:630
-10.01;-0.124;-0.026;-1.087;9.596;1.719;8.471;8.279;4.268;0.971;-0.253;-1.473;30.0;11.9;-5.4;-35.1;323.0;-77.7;-20.0;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;764;2021-10-26 23:10:44:680
-8.408;2.817;0.308;1.839;9.529;1.408;4.335;3.239;5.507;0.971;-0.253;-1.473;30.0;14.8;-7.4;-33.7;288.6;-87.5;-50.0;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;813;2021-10-26 23:10:44:729
-3.161;8.198;-6.431;8.217;3.112;-4.357;-2.073;0.968;13.184;3.011;2.413;-2.64;47.0;18.4;-7.9;-31.7;228.8;-18.5;-117.9;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;864;2021-10-26 23:10:44:780
-4.421;4.133;6.647;3.017;3.486;8.657;-2.372;0.834;-2.239;2.047;1.602;-0.935;47.0;22.9;-7.1;-29.2;265.4;-36.0;-45.4;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;914;2021-10-26 23:10:44:830
-4.873;7.422;-1.278;7.59;6.067;-1.317;-3.123;-0.815;2.31;-0.442;0.894;1.436;47.0;25.5;-6.9;-27.0;271.6;-30.0;-27.1;5.0;43.85;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;964;2021-10-26 23:10:44:880
-12.109;2.685;-5.991;0.948;8.95;-3.888;3.138;1.779;-2.429;-1.902;0.665;1.485;47.0;29.7;-7.3;-23.0;141.5;-65.9;-166.3;5.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1014;2021-10-26 23:10:44:930
1.828;14.905;1.409;9.634;-1.69;0.699;-2.886;-6.472;6.15;-0.897;1.247;0.848;47.0;31.7;-8.4;-21.1;220.4;-17.5;-99.4;5.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1064;2021-10-26 23:10:44:980
-5.893;9.641;0.189;8.964;1.978;3.457;-2.989;-6.329;-1.275;-0.291;2.089;1.692;47.0;33.4;-9.8;-18.5;219.9;-15.9;-95.1;5.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1113;2021-10-26 23:10:45:029
-2.678;10.254;3.817;9.653;1.609;0.632;-10.403;-3.008;6.012;0.016;2.493;2.409;20.0;35.0;-9.7;-16.5;307.3;18.2;-110.8;0.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1163;2021-10-26 23:10:45:079
-16.71;11.053;-7.13;6.062;7.087;-3.031;8.075;-6.786;5.403;0.079;2.352;2.251;20.0;35.5;-8.9;-16.6;240.4;-8.5;-76.7;0.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1214;2021-10-26 23:10:45:130
-12.569;7.587;-1.194;6.972;6.306;-2.792;6.187;0.093;2.814;1.112;1.281;-0.239;20.0;33.7;-8.8;-20.1;191.2;-55.9;-109.8;0.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1263;2021-10-26 23:10:45:179
1.692;1.35;-6.005;1.834;-3.687;-8.902;2.394;5.783;3.788;1.739;0.423;-1.232;20.0;31.9;-12.2;-22.0;199.5;-48.0;-105.7;0.0;55.52;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1313;2021-10-26 23:10:45:229
5.206;11.467;-7.025;7.719;-3.572;-4.889;-9.738;-1.664;1.071;1.889;0.566;-0.387;20.0;29.2;-21.7;-20.5;240.4;12.5;-46.7;0.0;62.67;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1363;2021-10-26 23:10:45:279
3.03;22.035;-3.568;9.38;-0.603;-2.787;-9.977;-13.281;7.215;0.904;1.515;2.711;20.0;28.1;-29.1;-17.1;189.2;17.9;-116.3;0.0;62.67;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1413;2021-10-26 23:10:45:329
-8.43;18.057;-7.748;8.303;3.84;-3.529;5.425;-11.877;6.582;0.825;1.11;2.424;20.0;29.5;-35.2;-11.9;195.8;-24.6;-91.6;0.0;62.67;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1464;2021-10-26 23:10:45:380
-6.027;5.356;2.115;0.101;8.729;4.468;2.204;2.687;-3.855;0.622;0.364;1.23;3.0;32.6;-34.0;-7.3;208.6;-49.3;-60.1;0.0;62.67;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1514;2021-10-26 23:10:45:430
-3.415;-3.683;-5.756;-4.951;3.95;-7.489;1.795;11.4;-0.721;0.67;-0.727;0.145;3.0;34.9;-30.7;-5.4;124.9;-23.8;146.5;0.0;62.67;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1564;2021-10-26 23:10:45:480
3.875;-5.438;1.125;-7.039;-5.65;3.836;-6.599;13.601;-1.822;3.274;-2.879;-0.89;3.0;35.2;-28.6;-3.7;156.7;17.9;110.6;0.0;62.67;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1614;2021-10-26 23:10:45:530
6.369;0.033;22.794;0.201;-2.519;9.476;-13.684;2.864;-26.438;6.88;-4.083;-2.201;3.0;31.1;-28.6;-5.5;216.1;37.0;32.7;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1664;2021-10-26 23:10:45:580
2.697;3.76;-0.306;8.317;-5.181;-0.297;-7.57;-3.108;-8.445;5.162;8.279;-0.263;3.0;27.2;-30.7;-7.5;135.1;19.5;-167.2;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1713;2021-10-26 23:10:45:629
-0.531;21.399;19.055;7.159;1.039;6.622;-1.119;-16.321;-27.869;-7.059;7.015;3.004;3.0;24.7;-31.4;-10.0;213.5;0.3;-62.4;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1763;2021-10-26 23:10:45:679
-3.6;29.934;2.779;9.754;1.02;-0.278;3.658;-22.983;-6.091;-7.082;4.832;-0.994;3.0;22.6;-31.3;-12.6;216.1;-9.4;-52.3;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1813;2021-10-26 23:10:45:729
-11.575;19.86;15.917;3.701;1.973;8.863;9.926;-8.79;-46.041;-7.082;4.832;-0.994;0.0;21.1;-30.7;-15.8;153.9;-8.7;-161.8;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1863;2021-10-26 23:10:45:779
-8.073;3.36;-1.225;2.662;9.208;-2.078;8.17;6.913;-1.363;-4.671;2.065;-1.729;0.0;16.7;-29.0;-21.3;205.9;-33.5;-101.2;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1913;2021-10-26 23:10:45:829
-3.477;-2.039;-0.945;-3.903;7.638;-4.755;2.509;11.296;-0.941;0.674;-5.424;-1.133;0.0;14.9;-28.2;-23.6;131.1;-54.4;140.1;0.0;62.02;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;1964;2021-10-26 23:10:45:880
0.521;-0.457;1.376;-3.409;-6.167;6.819;-2.565;8.534;-4.038;2.116;-7.659;-1.997;0.0;12.1;-27.6;-27.1;219.8;1.0;-24.8;0.0;60.82;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;2013;2021-10-26 23:10:45:929
1.402;-1.735;-2.455;-3.026;-5.243;-7.719;-4.96;9.775;-3.269;6.011;-3.354;-3.999;0.0;12.7;-28.3;-26.5;134.0;-9.6;86.9;0.0;60.82;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;2064;2021-10-26 23:10:45:980
0.426;11.824;-2.779;9.658;0.091;-1.69;-8.289;-0.742;1.155;4.005;2.895;4.393;0.0;13.9;-30.0;-24.7;216.4;-0.5;-99.9;0.0;60.82;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;2114;2021-10-26 23:10:46:030
-34.42;41.879;-1.448;7.283;6.565;-0.105;22.181;-34.548;-0.36;-1.682;-1.552;1.243;0.0;15.5;-30.4;-23.2;208.8;-27.7;-100.5;0.0;60.82;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;2164;2021-10-26 23:10:46:080
-8.545;8.7;-5.711;6.048;6.455;-4.238;10.282;-11.051;1.429;-1.064;-2.202;0.428;0.0;20.0;-29.1;-21.4;205.7;-37.0;-101.6;0.0;60.82;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;2213;2021-10-26 23:10:46:129
-4.861;1.445;0.033;2.605;9.452;0.215;0.708;6.268;-4.244;-0.615;-2.046;-0.13;0.0;23.6;-27.4;-19.9;179.0;-53.8;-135.0;0.0;60.82;39.46891;-0.34094;69.4;NaN;;13.8;;0 / 31;2264;2021-10-26 23:10:46:180
