sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.071;9.72;-14.244;7.216;4.587;-4.798;4.089;-1.057;17.549;3.5;-2.521;-0.874;525.0;39.1;-29.5;-0.7;137.7;-12.5;-144.8;5.0;51.97;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;9;2021-10-27 17:41:08:533
1.852;5.524;9.732;3.874;-4.132;8.006;13.109;-1.32;-23.352;3.353;-2.668;-2.007;525.0;39.4;-30.5;2.2;178.4;-30.8;-88.9;0.0;51.97;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;58;2021-10-27 17:41:08:582
0.596;9.761;4.203;9.787;-0.086;0.603;-7.903;2.915;30.491;4.389;-2.429;-0.346;525.0;39.4;-31.8;5.9;227.2;46.1;31.6;0.0;51.97;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;109;2021-10-27 17:41:08:633
3.664;21.396;-6.9;8.921;-0.57;-4.027;-3.158;-15.354;11.399;1.417;-0.078;-0.354;525.0;39.3;-33.0;7.4;180.0;-24.3;-79.9;0.0;51.97;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;158;2021-10-27 17:41:08:682
-7.197;5.78;-18.225;3.285;6.843;-6.211;5.35;4.651;13.717;2.511;-0.391;1.013;525.0;38.4;-35.4;8.0;133.8;-11.4;-154.3;0.0;51.97;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;209;2021-10-27 17:41:08:733
1.601;16.013;3.188;9.428;-1.403;-2.303;-3.76;-6.294;-2.486;0.374;0.649;0.031;517.0;38.0;-36.2;6.1;199.6;-1.4;-61.1;0.0;51.97;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;258;2021-10-27 17:41:08:782
1.811;6.958;-1.479;9.05;-2.787;-2.557;-4.385;-0.258;2.87;1.02;0.315;1.06;517.0;37.3;-36.3;0.8;140.0;15.1;-123.2;0.0;66.36;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;309;2021-10-27 17:41:08:833
-3.446;-0.988;-3.276;-1.695;6.211;-7.398;2.401;10.332;0.72;0.481;0.035;0.203;517.0;37.3;-36.0;-2.5;166.9;6.2;-103.1;0.0;66.36;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;358;2021-10-27 17:41:08:882
-0.591;9.17;3.382;9.251;0.474;3.227;-0.845;4.474;-3.624;0.679;-0.308;0.874;517.0;37.4;-36.1;-4.1;203.0;-2.8;-70.8;0.0;66.36;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;409;2021-10-27 17:41:08:933
1.079;22.895;3.219;9.72;-1.307;-0.101;-1.485;-12.717;-5.851;-1.851;1.093;-0.148;517.0;38.4;-36.9;-3.5;194.4;1.7;-80.5;0.0;66.36;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;459;2021-10-27 17:41:08:983
-1.974;18.964;-13.198;8.207;0.575;-5.339;-3.722;-10.208;2.37;-1.201;0.592;0.421;517.0;40.2;-38.7;1.3;183.7;10.4;-88.6;0.0;66.36;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;508;2021-10-27 17:41:09:032
0.435;9.993;-9.316;7.12;0.244;-6.742;1.062;-1.328;9.25;0.314;-0.478;0.354;154.0;41.2;-39.8;6.1;145.0;-9.2;-131.4;0.0;66.36;39.46892;-0.34094;69.4;NaN;;15.196;;0 / 18;559;2021-10-27 17:41:09:083
