sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-13.545;11.178;5.471;6.134;7.101;2.854;6.547;-4.159;-1.526;-0.18;-1.847;-0.213;355.0;-8.5;-44.0;9.6;156.2;-46.4;-65.0;0.0;56.09;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;13;2021-10-27 16:52:01:415
-3.896;13.095;-16.937;5.033;0.192;-8.413;-2.555;5.451;19.307;0.593;1.692;-1.748;355.0;-8.2;-42.4;11.9;188.5;-6.2;-171.2;0.0;56.09;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;62;2021-10-27 16:52:01:464
3.298;-4.859;1.031;-6.723;-3.788;6.053;-10.906;15.534;-8.417;0.593;1.692;-1.748;355.0;-8.3;-43.0;10.8;195.4;44.4;62.7;0.0;56.09;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;113;2021-10-27 16:52:01:515
-8.782;22.117;-6.532;9.275;3.194;-0.096;4.326;-17.899;5.44;0.593;1.692;-1.748;355.0;-9.2;-42.7;11.1;167.0;6.7;-8.9;0.0;56.09;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;163;2021-10-27 16:52:01:565
7.566;13.042;-3.398;8.95;-3.931;-0.776;-10.532;-7.109;0.251;0.393;-1.089;2.368;355.0;-13.0;-41.3;10.8;167.2;23.6;-95.0;0.0;56.09;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;213;2021-10-27 16:52:01:615
0.337;8.322;-2.441;8.887;-1.695;-3.788;-3.844;1.242;1.975;0.4;-3.565;2.566;355.0;-16.6;-39.8;11.5;172.5;4.7;-107.3;0.0;63.32;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;263;2021-10-27 16:52:01:665
-0.088;3.667;0.138;9.783;-0.488;0.517;-2.664;6.426;-1.449;0.305;-0.339;1.703;355.0;-20.3;-38.0;11.5;176.1;-32.3;-116.3;0.0;63.32;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;313;2021-10-27 16:52:01:715
2.623;18.289;-0.564;9.773;-0.747;0.33;-1.191;-0.18;-4.457;0.368;-0.357;2.021;280.0;-21.2;-36.8;12.8;154.4;-1.5;-68.2;0.0;63.32;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;362;2021-10-27 16:52:01:764
0.562;17.054;-0.301;9.792;-0.512;0.139;-2.16;-8.755;-1.544;-0.186;0.193;0.669;280.0;-20.0;-34.4;17.9;152.4;3.0;-89.2;0.0;63.32;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;412;2021-10-27 16:52:01:814
-1.244;13.174;-8.224;8.203;0.781;-5.315;0.373;-3.644;7.649;-0.156;0.068;0.502;280.0;-19.4;-33.1;21.2;159.0;-2.0;-112.1;0.0;63.32;39.46897;-0.34098;69.4;NaN;;14.059;;0 / 28;462;2021-10-27 16:52:01:864
