sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.469;6.185;-13.868;4.295;-1.226;-8.729;2.704;1.231;-2.425;1.593;0.263;0.083;391.0;-4.7;-14.8;38.7;103.4;-22.0;-103.0;5.0;38.36;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;8;2021-10-27 16:53:18:911
1.081;2.968;-7.42;3.486;-1.312;-9.074;-3.491;6.767;2.721;1.486;1.023;-0.9;391.0;-6.5;-9.5;39.7;144.2;16.0;-149.5;5.0;38.36;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;58;2021-10-27 16:53:18:961
3.822;-0.651;-8.315;-2.222;-4.262;-8.547;-4.921;8.685;-1.552;2.405;-2.109;4.201;391.0;-7.7;-5.7;39.9;215.1;47.2;157.8;5.0;59.32;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;109;2021-10-27 16:53:19:012
1.594;-1.263;-12.142;-3.745;5.181;-7.436;6.7;5.796;21.775;2.67;3.727;-6.07;391.0;-10.9;4.1;40.1;305.3;-31.9;153.3;5.0;59.32;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;159;2021-10-27 16:53:19:062
-4.27;0.22;-10.137;3.63;8.073;4.219;-1.718;9.916;5.169;2.744;2.602;-5.345;367.0;-9.0;8.9;39.6;292.0;0.7;161.5;5.0;59.32;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;209;2021-10-27 16:53:19:112
1.062;-2.204;-11.128;-1.748;-0.589;-9.634;-1.992;4.951;-0.648;2.049;0.109;-1.774;367.0;-5.5;13.7;39.4;345.3;-67.4;174.7;5.0;59.32;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;258;2021-10-27 16:53:19:161
0.363;9.426;-12.296;4.209;-1.666;-8.701;-10.515;4.115;7.458;2.416;0.888;-0.369;367.0;-4.1;14.9;40.1;347.6;-0.6;-179.1;0.0;59.32;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;309;2021-10-27 16:53:19:212
10.443;8.303;-12.257;3.232;-6.522;-6.574;-14.335;-2.576;3.379;-0.279;-1.613;1.401;367.0;-4.3;15.9;40.1;92.4;29.2;-134.4;0.0;59.32;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;359;2021-10-27 16:53:19:262
2.972;1.311;-13.516;-1.968;3.405;-8.983;-2.674;0.779;2.759;-0.279;-1.613;1.401;367.0;-4.1;17.2;40.0;53.2;15.8;-163.5;0.0;64.54;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;409;2021-10-27 16:53:19:312
-1.175;3.219;-8.913;3.582;1.307;-9.036;-1.401;2.056;-11.654;-0.811;-1.088;1.675;367.0;-3.7;17.8;39.4;334.4;-29.9;159.5;0.0;64.54;39.46889;-0.34092;69.4;NaN;;12.551;;0 / 28;458;2021-10-27 16:53:19:361
