sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3445;0.1794;4.8704;2.9967;-2.5084;8.9958;-0.3459;-4.7527;3.7677;-0.4059;-2.2032;-0.7309;480.0;11.04;-23.59;-32.46;197.08;20.4;1.13;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;6;2021-10-20 00:23:34:082
-0.3445;0.1794;4.8704;4.1507;-5.5397;6.9466;-0.3459;-4.7527;3.7677;-0.4059;-2.2032;-0.7309;480.0;11.04;-23.59;-32.46;197.08;20.4;1.13;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;10;2021-10-20 00:23:34:086
-0.3445;0.1794;4.8704;4.1507;-5.5397;6.9466;-0.3459;-4.7527;3.7677;-0.4128;-1.8844;-0.4719;480.0;9.3;-23.94;-32.89;197.08;20.4;1.13;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;16;2021-10-20 00:23:34:092
1.3673;1.6406;3.8684;4.1507;-5.5397;6.9466;-0.3459;-4.7527;3.7677;-0.4128;-1.8844;-0.4719;480.0;9.3;-23.94;-32.89;197.08;20.4;1.13;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;21;2021-10-20 00:23:34:097
1.3673;1.6406;3.8684;7.0891;-4.4541;5.1053;-2.868;-5.3878;4.4876;-0.4128;-1.8844;-0.4719;480.0;9.3;-23.94;-32.89;197.08;20.4;1.13;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;26;2021-10-20 00:23:34:102
1.3673;1.6406;3.8684;7.0891;-4.4541;5.1053;-2.868;-5.3878;4.4876;-0.4128;-1.8844;-0.4719;480.0;9.3;-23.94;-32.89;197.08;20.4;1.13;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;31;2021-10-20 00:23:34:107
-4.4173;1.233;0.5188;7.0891;-4.4541;5.1053;-2.868;-5.3878;4.4876;-1.0394;-0.9878;0.5917;505.0;7.61;-24.19;-33.36;135.18;-1.51;56.7;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;36;2021-10-20 00:23:34:112
-4.4173;1.233;0.5188;0.318;3.4861;9.1644;-0.6549;-8.0731;4.0497;-1.0394;-0.9878;0.5917;505.0;7.61;-24.19;-33.36;135.18;-1.51;56.7;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;40;2021-10-20 00:23:34:116
-4.4173;1.233;0.5188;0.318;3.4861;9.1644;-0.6549;-8.0731;4.0497;-1.0394;-0.9878;0.5917;505.0;7.61;-24.19;-33.36;135.18;-1.51;56.7;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;46;2021-10-20 00:23:34:122
-4.4173;1.233;0.5188;0.318;3.4861;9.1644;-0.6549;-8.0731;4.0497;-1.0394;-0.9878;0.5917;505.0;7.61;-24.19;-33.36;135.18;-1.51;56.7;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;50;2021-10-20 00:23:34:126
-2.5483;2.5349;-0.7189;3.3612;5.7807;7.1723;-0.6549;-8.0731;4.0497;-1.0394;-0.9878;0.5917;505.0;6.24;-24.41;-33.79;135.18;-1.51;56.7;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;56;2021-10-20 00:23:34:132
-2.5483;2.5349;-0.7189;3.3612;5.7807;7.1723;-0.6549;-8.0731;4.0497;-1.0394;-0.9878;0.5917;505.0;6.24;-24.41;-33.79;135.18;-1.51;56.7;5.0;33.195;39.468887;-0.340908;70.4;NaN;;15.207;;0 / 18;61;2021-10-20 00:23:34:137
