sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.057;5.708;0.646;9.807;0.053;-0.134;-2.102;1.818;4.292;-0.704;0.477;0.1;988.0;26.2;-31.9;9.5;174.2;10.7;-74.4;0.0;45.04;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;9;2021-10-27 17:44:33:082
-1.699;4.744;-1.151;8.581;1.341;-4.554;-0.427;3.406;7.384;1.027;-1.01;0.578;988.0;24.9;-30.4;15.0;167.6;-15.5;-79.3;0.0;45.04;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;58;2021-10-27 17:44:33:131
-3.465;7.405;-8.889;5.076;4.41;-7.14;0.6;3.723;11.339;3.219;-1.701;-0.154;988.0;24.8;-28.0;18.6;134.0;-4.1;-141.2;0.0;58.52;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;109;2021-10-27 17:44:33:182
-11.764;18.514;-2.273;7.949;5.444;-1.844;1.171;-2.149;-7.515;3.463;-1.091;-1.33;988.0;26.7;-24.4;21.8;161.7;-2.2;-64.7;0.0;58.52;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;158;2021-10-27 17:44:33:231
-0.315;11.099;0.11;9.433;2.543;-0.876;-2.576;-1.115;0.999;2.472;0.077;-0.79;988.0;27.4;-23.0;22.6;129.6;5.6;-93.6;0.0;58.52;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;208;2021-10-27 17:44:33:281
-3.245;9.847;-1.35;9.266;3.021;-1.077;-1.462;1.437;2.721;1.37;1.014;-0.69;988.0;28.0;-22.4;22.3;133.0;-12.2;-101.6;0.0;58.52;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;258;2021-10-27 17:44:33:331
-3.25;12.217;0.947;9.673;1.537;-0.508;1.246;-3.472;-1.617;0.387;1.021;-0.038;988.0;27.5;-22.7;22.1;142.0;-17.7;-93.0;0.0;58.52;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;309;2021-10-27 17:44:33:382
-1.182;6.96;0.047;9.716;0.843;-1.077;0.321;0.424;0.583;0.045;0.905;0.002;419.0;27.0;-23.2;21.9;135.2;-4.9;-96.3;0.0;58.52;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;358;2021-10-27 17:44:33:431
-2.379;6.733;-0.203;9.232;3.29;-0.359;-0.414;2.953;0.222;0.083;0.669;-0.11;419.0;26.8;-23.9;22.3;139.8;-16.9;-97.5;0.0;67.23;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;408;2021-10-27 17:44:33:481
9.789;-4.509;0.978;-4.554;-8.653;-0.781;-3.99;11.339;1.646;0.192;0.349;0.243;419.0;25.9;-25.3;21.6;148.2;-0.3;-77.0;0.0;67.23;39.46889;-0.34092;69.4;NaN;;15.541;;0 / 28;458;2021-10-27 17:44:33:531
