sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
13.2551;-3.444;1.3181;-2.2314;-9.4954;1.0582;-8.4024;-1.1887;2.6491;-0.1004;-2.4183;-0.6469;201.0;-37.8;-8.94;-5.34;34.67;83.6;67.59;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;14;2021-10-20 00:26:12:634
13.2551;-3.444;1.3181;-2.2314;-9.4954;1.0582;-8.4024;-1.1887;2.6491;-0.1004;-2.4183;-0.6469;201.0;-38.76;-6.49;-4.26;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;20;2021-10-20 00:26:12:640
13.2551;-3.444;1.3181;-3.7445;-9.0501;0.5315;-4.0913;0.4122;3.6099;0.3438;-2.321;-0.6307;201.0;-38.76;-6.49;-4.26;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;24;2021-10-20 00:26:12:644
10.706;-4.789;0.584;-3.7445;-9.0501;0.5315;-4.0913;0.4122;3.6099;0.3438;-2.321;-0.6307;201.0;-38.76;-6.49;-4.26;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;30;2021-10-20 00:26:12:650
10.706;-4.789;0.584;-3.7445;-9.0501;0.5315;-4.0913;0.4122;3.6099;0.3438;-2.321;-0.6307;201.0;-38.76;-6.49;-4.26;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;34;2021-10-20 00:26:12:654
8.4491;-5.967;0.6431;-5.4061;-8.169;0.4788;-4.0913;0.4122;3.6099;0.3438;-2.321;-0.6307;201.0;-39.36;-4.26;-4.56;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;40;2021-10-20 00:26:12:660
8.4491;-5.967;0.6431;-5.4061;-8.169;0.4788;-4.0913;0.4122;3.6099;0.7055;-2.2444;-0.5224;201.0;-39.36;-4.26;-4.56;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;45;2021-10-20 00:26:12:665
8.4491;-5.967;0.6431;-5.4061;-8.169;0.4788;-4.0913;0.4122;3.6099;0.7055;-2.2444;-0.5224;201.0;-39.36;-4.26;-4.56;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;50;2021-10-20 00:26:12:670
6.9;-6.489;1.3331;-6.517;-7.2209;1.2593;-0.6832;2.2599;3.7114;0.7055;-2.2444;-0.5224;201.0;-39.36;-4.26;-4.56;33.31;75.42;64.63;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;55;2021-10-20 00:26:12:675
6.9;-6.489;1.3331;-6.517;-7.2209;1.2593;-0.6832;2.2599;3.7114;0.7055;-2.2444;-0.5224;201.0;-39.54;-2.7;-5.4;25.52;47.41;79.06;5.0;41.678;39.468933;-0.34098;69.3;NaN;;17.717;;0 / 20;59;2021-10-20 00:26:12:679
