sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.236;13.107;1.639;9.764;0.575;0.723;-3.803;0.897;1.906;0.627;0.136;0.178;497.0;40.8;-31.5;0.4;185.0;-3.4;-85.8;0.0;62.2;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;9;2021-10-27 17:39:42:053
-4.978;18.658;3.152;9.443;2.428;1.082;2.766;-9.445;-3.308;0.502;0.179;0.294;391.0;40.0;-33.1;0.8;187.2;-14.0;-81.0;0.0;62.2;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;58;2021-10-27 17:39:42:102
0.471;10.675;-1.424;9.625;0.244;-1.872;-2.238;-1.015;1.842;0.343;0.242;0.678;391.0;38.2;-35.2;0.2;168.2;5.5;-98.1;0.0;62.2;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;109;2021-10-27 17:39:42:153
-0.497;8.21;8.796;6.718;1.025;7.072;-0.965;2.346;-6.612;0.197;0.222;0.359;391.0;37.4;-35.6;-0.8;145.3;-14.2;-137.3;0.0;62.2;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;158;2021-10-27 17:39:42:202
-0.217;8.904;-0.94;9.697;0.46;-1.413;-0.658;0.528;0.422;-0.179;0.442;0.354;391.0;36.4;-35.3;-3.5;178.1;-2.7;-98.3;0.0;62.2;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;209;2021-10-27 17:39:42:253
-0.157;9.715;0.655;9.792;0.11;0.565;-1.221;0.091;-0.412;-0.195;0.289;0.287;391.0;36.1;-35.2;-5.5;192.7;-1.5;-86.7;0.0;64.34;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;258;2021-10-27 17:39:42:302
-0.342;9.474;0.569;9.764;0.321;0.848;-0.869;0.377;0.047;-1.001;0.705;0.473;391.0;35.2;-34.6;-8.6;194.2;-2.3;-88.1;0.0;64.34;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;309;2021-10-27 17:39:42:353
-1.086;10.05;0.399;9.759;0.934;0.321;-0.666;-0.013;-0.101;0.155;-0.729;0.374;97.0;35.2;-34.4;-10.3;198.4;-2.0;-84.9;0.0;64.34;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;358;2021-10-27 17:39:42:402
-1.361;11.068;0.636;9.677;1.528;0.402;0.245;-1.462;-0.283;0.001;-0.746;0.178;97.0;34.2;-34.0;-13.0;200.4;-9.0;-87.6;0.0;64.34;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;408;2021-10-27 17:39:42:452
-3.425;12.82;1.618;9.457;2.48;0.781;1.679;-1.039;1.051;0.123;-1.06;-0.264;97.0;33.7;-33.7;-14.8;203.3;-14.6;-85.3;0.0;64.34;39.46891;-0.34095;69.4;NaN;;16.753;;0 / 18;459;2021-10-27 17:39:42:503
